cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2025-01,100.0,44.34,44.34,45.75,48.58,45.75,41.51,44.34,41.98,46.7,42.45,40.57,41.98,41.04,43.87,44.34,41.04,42.45
2025-02,100.0,44.14,40.54,27.03,39.64,45.95,40.54,44.14,49.55,36.94,43.24,39.64,37.84,50.45,46.85,45.95,37.84,
2025-03,100.0,41.03,41.03,46.15,51.28,38.46,48.72,37.18,37.18,56.41,44.87,43.59,47.44,34.62,46.15,44.87,,
2025-04,100.0,45.45,38.64,43.18,47.73,38.64,43.18,38.64,50.0,47.73,38.64,38.64,31.82,47.73,54.55,,,
2025-05,100.0,46.15,38.46,38.46,42.31,38.46,46.15,46.15,46.15,42.31,30.77,23.08,46.15,26.92,,,,
2025-06,100.0,25.0,87.5,37.5,62.5,50.0,37.5,75.0,37.5,50.0,62.5,75.0,37.5,,,,,
2025-07,100.0,71.43,28.57,28.57,,57.14,71.43,42.86,42.86,57.14,71.43,71.43,,,,,,
2025-08,100.0,,40.0,40.0,80.0,80.0,40.0,,60.0,40.0,20.0,,,,,,,
2025-09,100.0,80.0,60.0,20.0,40.0,40.0,20.0,20.0,20.0,60.0,,,,,,,,
2025-10,100.0,100.0,,,100.0,,,100.0,,,,,,,,,,
2025-11,100.0,100.0,,,,,,,,,,,,,,,,
2025-12,100.0,100.0,,100.0,,,100.0,,,,,,,,,,,
2026-01,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,
