customer_id,category,transaction_count,units_sold,category_revenue,customer_lifetime_revenue
C0127,Electronics,8,30,1493500.0,1523575.0
C0410,Electronics,8,32,1480250.0,1526130.0
C0307,Electronics,9,31,1470000.0,1475130.0
C0215,Electronics,10,40,1361750.0,1382075.0
C0300,Electronics,11,33,1334750.0,1355175.0
C0159,Electronics,8,27,1299250.0,1382975.0
C0050,Electronics,6,26,1250250.0,1281650.0
C0456,Electronics,11,33,1246500.0,1319975.0
C0102,Electronics,10,33,1231000.0,1261750.0
C0275,Electronics,10,33,1226750.0,1266725.0
C0272,Electronics,9,33,1201750.0,1226655.0
C0443,Electronics,6,23,1166000.0,1212950.0
C0234,Electronics,8,28,1151750.0,1169700.0
C0374,Electronics,8,30,1130500.0,1210735.0
C0098,Electronics,6,24,1115750.0,1152475.0
C0335,Electronics,8,28,1112000.0,1173135.0
C0061,Electronics,6,19,1099500.0,1126200.0
C0326,Electronics,8,27,1095250.0,1113810.0
C0117,Electronics,8,29,1089000.0,1104810.0
C0026,Electronics,11,33,1087500.0,1095675.0
C0067,Electronics,9,25,1084500.0,1148245.0
C0143,Electronics,10,32,1079000.0,1107175.0
C0004,Electronics,10,26,1078000.0,1108185.0
C0037,Electronics,8,33,1077000.0,1134350.0
C0458,Electronics,12,34,1070500.0,1078620.0
C0013,Electronics,9,33,1067500.0,1132800.0
C0110,Electronics,9,30,1066750.0,1085830.0
C0482,Electronics,10,24,1064750.0,1118325.0
C0180,Electronics,6,21,1064500.0,1075160.0
C0119,Electronics,11,30,1061750.0,1076875.0
C0274,Electronics,8,23,1060750.0,1105360.0
C0378,Electronics,9,23,1038000.0,1062230.0
C0129,Electronics,7,26,1028250.0,1044485.0
C0436,Electronics,8,29,1025500.0,1044475.0
C0266,Electronics,9,22,1024500.0,1049680.0
C0417,Electronics,7,21,1019250.0,1033830.0
C0467,Electronics,9,26,1018250.0,1060770.0
C0415,Electronics,8,24,1014000.0,1032750.0
C0437,Electronics,10,26,1010250.0,1042310.0
C0302,Electronics,7,19,1005250.0,1037275.0
C0312,Electronics,7,22,1005250.0,1025950.0
C0351,Electronics,11,28,998500.0,1022055.0
C0292,Electronics,8,28,997250.0,1020630.0
C0297,Electronics,5,19,996750.0,1076100.0
C0135,Electronics,8,26,995750.0,1013005.0
C0448,Electronics,6,19,970750.0,979150.0
C0016,Electronics,8,24,968000.0,1001050.0
C0406,Electronics,8,25,965500.0,995625.0
C0030,Electronics,6,22,964250.0,981285.0
C0018,Electronics,7,24,961500.0,989000.0
C0109,Electronics,6,23,961000.0,1020550.0
C0318,Electronics,8,24,957750.0,980600.0
C0120,Electronics,7,28,957500.0,1000590.0
C0258,Electronics,9,21,955250.0,969015.0
C0244,Electronics,7,25,955000.0,989695.0
C0057,Electronics,7,23,930250.0,963925.0
C0442,Electronics,7,32,925750.0,959250.0
C0121,Electronics,6,19,919500.0,941200.0
C0190,Electronics,5,21,913000.0,944700.0
C0432,Electronics,9,28,903000.0,932425.0
C0080,Electronics,6,17,900000.0,916500.0
C0189,Electronics,7,19,899000.0,908455.0
C0123,Electronics,7,19,898000.0,925785.0
C0319,Electronics,10,23,897750.0,901250.0
C0408,Electronics,8,26,888750.0,923915.0
C0492,Electronics,8,28,888500.0,941000.0
C0163,Electronics,7,26,882250.0,904050.0
C0419,Electronics,5,17,881750.0,896000.0
C0164,Electronics,6,19,881000.0,926425.0
C0479,Electronics,9,30,880500.0,946495.0
C0181,Electronics,6,21,869000.0,877280.0
