customer_id,category,product,transaction_count,units_sold,product_revenue
C0127,Electronics,Laptop,4,18,1118000.0
C0061,Electronics,Laptop,5,18,1059500.0
C0159,Electronics,Laptop,4,16,991250.0
C0302,Electronics,Laptop,6,17,978250.0
C0274,Electronics,Laptop,5,16,919750.0
C0374,Electronics,Laptop,4,15,900250.0
C0067,Electronics,Laptop,4,15,897000.0
C0234,Electronics,Laptop,3,14,893750.0
C0050,Electronics,Laptop,3,14,880750.0
C0098,Electronics,Laptop,4,15,874250.0
C0378,Electronics,Laptop,4,15,864500.0
C0180,Electronics,Laptop,3,14,851500.0
C0297,Electronics,Laptop,3,14,848250.0
C0307,Electronics,Laptop,3,13,832000.0
C0448,Electronics,Laptop,4,14,822250.0
C0266,Electronics,Laptop,4,13,796250.0
C0030,Electronics,Laptop,3,13,793000.0
C0443,Electronics,Laptop,3,13,780000.0
C0410,Electronics,Laptop,4,13,770250.0
C0275,Electronics,Laptop,3,13,760500.0
C0417,Electronics,Laptop,4,13,757250.0
C0080,Electronics,Laptop,4,12,741000.0
C0482,Electronics,Laptop,4,12,737750.0
C0419,Electronics,Laptop,3,12,711750.0
C0410,Electronics,Smartphone,4,19,710000.0
C0189,Electronics,Laptop,4,12,702000.0
C0018,Electronics,Laptop,4,12,692250.0
C0181,Electronics,Smartphone,5,18,674000.0
C0258,Electronics,Laptop,3,11,669500.0
C0349,Electronics,Laptop,3,11,659750.0
C0163,Electronics,Laptop,3,11,656500.0
C0312,Electronics,Laptop,3,11,653250.0
C0300,Electronics,Smartphone,4,17,648000.0
C0043,Electronics,Laptop,3,10,643500.0
C0216,Electronics,Laptop,3,11,643500.0
C0057,Electronics,Laptop,3,11,627250.0
C0286,Electronics,Laptop,3,10,620750.0
C0004,Electronics,Laptop,3,10,607750.0
C0168,Electronics,Laptop,3,10,607750.0
C0402,Electronics,Laptop,2,10,601250.0
C0121,Electronics,Laptop,3,10,594750.0
C0478,Electronics,Laptop,3,10,588250.0
C0339,Electronics,Laptop,3,10,585000.0
C0441,Electronics,Laptop,2,10,585000.0
C0456,Electronics,Smartphone,4,16,582000.0
C0388,Electronics,Laptop,3,9,581750.0
C0467,Electronics,Laptop,4,10,581750.0
C0135,Electronics,Laptop,3,10,578500.0
C0119,Electronics,Laptop,4,10,575250.0
C0060,Electronics,Smartphone,4,16,572000.0
C0252,Electronics,Laptop,3,9,572000.0
C0353,Electronics,Laptop,2,9,572000.0
C0111,Electronics,Smartphone,4,15,570000.0
C0202,Electronics,Laptop,4,10,568750.0
C0284,Electronics,Laptop,2,9,568750.0
C0123,Electronics,Laptop,3,9,565500.0
C0102,Electronics,Smartphone,4,15,564000.0
C0292,Electronics,Laptop,3,9,562250.0
C0138,Electronics,Laptop,2,9,559000.0
C0325,Electronics,Smartphone,5,15,556000.0
C0129,Electronics,Laptop,3,9,552500.0
C0272,Electronics,Laptop,2,10,552500.0
C0442,Electronics,Smartphone,3,15,550000.0
C0491,Electronics,Laptop,3,9,549250.0
C0421,Electronics,Smartphone,4,15,548000.0
C0437,Electronics,Laptop,4,9,542750.0
C0318,Electronics,Laptop,3,9,536250.0
C0326,Electronics,Smartphone,4,14,534000.0
C0300,Electronics,Laptop,4,9,533000.0
C0307,Electronics,Smartphone,5,14,530000.0
C0456,Electronics,Laptop,2,9,526500.0
C0208,Electronics,Laptop,3,9,523250.0
C0003,Electronics,Laptop,2,8,520000.0
C0109,Electronics,Laptop,2,8,520000.0
C0335,Electronics,Laptop,2,8,520000.0
C0336,Electronics,Smartphone,3,14,520000.0
C0413,Electronics,Laptop,3,8,513500.0
C0091,Electronics,Laptop,3,9,510250.0
C0102,Electronics,Laptop,2,8,510250.0
C0455,Electronics,Smartphone,5,14,508000.0
C0215,Electronics,Laptop,2,8,500500.0
C0149,Electronics,Laptop,2,9,497250.0
C0203,Electronics,Smartphone,3,13,496000.0
C0016,Electronics,Laptop,3,8,494000.0
C0222,Electronics,Laptop,3,8,494000.0
C0436,Electronics,Laptop,2,8,494000.0
C0054,Electronics,Laptop,2,8,490750.0
C0108,Electronics,Smartphone,4,13,486000.0
C0117,Electronics,Laptop,2,8,481000.0
C0164,Electronics,Laptop,2,8,481000.0
C0190,Electronics,Smartphone,3,12,480000.0
C0187,Electronics,Laptop,2,8,477750.0
C0033,Electronics,Laptop,2,8,474500.0
C0398,Electronics,Laptop,2,8,474500.0
C0495,Electronics,Laptop,3,8,471250.0
C0115,Electronics,Smartphone,4,13,468000.0
C0432,Electronics,Laptop,2,8,468000.0
C0037,Electronics,Tablet,4,17,466500.0
C0118,Electronics,Laptop,3,8,461500.0
C0193,Electronics,Laptop,2,8,461500.0
C0408,Electronics,Laptop,2,8,458250.0
C0145,Electronics,Laptop,2,8,455000.0
C0165,Electronics,Laptop,3,8,455000.0
C0351,Electronics,Laptop,3,8,455000.0
C0370,Electronics,Laptop,2,7,455000.0
C0415,Electronics,Laptop,2,7,455000.0
C0377,Electronics,Tablet,5,16,454500.0
C0479,Electronics,Tablet,4,16,444000.0
C0126,Electronics,Laptop,2,8,442000.0
C0451,Electronics,Laptop,2,8,442000.0
