customer_id,preferred_product_category,preferred_product,product_revenue,customer_lifetime_revenue,preferred_category,category_revenue
C0410,Electronics,Laptop,770250.0,1526130.0,Electronics,1480250.0
C0127,Electronics,Laptop,1118000.0,1523575.0,Electronics,1493500.0
C0307,Electronics,Laptop,832000.0,1475130.0,Electronics,1470000.0
C0159,Electronics,Laptop,991250.0,1382975.0,Electronics,1299250.0
C0215,Electronics,Laptop,500500.0,1382075.0,Electronics,1361750.0
C0300,Electronics,Smartphone,648000.0,1355175.0,Electronics,1334750.0
C0456,Electronics,Smartphone,582000.0,1319975.0,Electronics,1246500.0
C0050,Electronics,Laptop,880750.0,1281650.0,Electronics,1250250.0
C0275,Electronics,Laptop,760500.0,1266725.0,Electronics,1226750.0
C0102,Electronics,Smartphone,564000.0,1261750.0,Electronics,1231000.0
C0272,Electronics,Laptop,552500.0,1226655.0,Electronics,1201750.0
C0443,Electronics,Laptop,780000.0,1212950.0,Electronics,1166000.0
C0374,Electronics,Laptop,900250.0,1210735.0,Electronics,1130500.0
C0335,Electronics,Laptop,520000.0,1173135.0,Electronics,1112000.0
C0234,Electronics,Laptop,893750.0,1169700.0,Electronics,1151750.0
C0098,Electronics,Laptop,874250.0,1152475.0,Electronics,1115750.0
C0067,Electronics,Laptop,897000.0,1148245.0,Electronics,1084500.0
C0037,Electronics,Tablet,466500.0,1134350.0,Electronics,1077000.0
C0013,Electronics,Tablet,436500.0,1132800.0,Electronics,1067500.0
C0061,Electronics,Laptop,1059500.0,1126200.0,Electronics,1099500.0
C0482,Electronics,Laptop,737750.0,1118325.0,Electronics,1064750.0
C0326,Electronics,Smartphone,534000.0,1113810.0,Electronics,1095250.0
C0004,Electronics,Laptop,607750.0,1108185.0,Electronics,1078000.0
C0143,Electronics,Smartphone,380000.0,1107175.0,Electronics,1079000.0
C0274,Electronics,Laptop,919750.0,1105360.0,Electronics,1060750.0
C0117,Electronics,Laptop,481000.0,1104810.0,Electronics,1089000.0
C0026,Electronics,Laptop,435500.0,1095675.0,Electronics,1087500.0
C0110,Electronics,Smartphone,422000.0,1085830.0,Electronics,1066750.0
C0458,Electronics,Smartphone,396000.0,1078620.0,Electronics,1070500.0
C0119,Electronics,Laptop,575250.0,1076875.0,Electronics,1061750.0
C0297,Electronics,Laptop,848250.0,1076100.0,Electronics,996750.0
C0180,Electronics,Laptop,851500.0,1075160.0,Electronics,1064500.0
C0378,Electronics,Laptop,864500.0,1062230.0,Electronics,1038000.0
C0467,Electronics,Laptop,581750.0,1060770.0,Electronics,1018250.0
C0266,Electronics,Laptop,796250.0,1049680.0,Electronics,1024500.0
C0129,Electronics,Laptop,552500.0,1044485.0,Electronics,1028250.0
C0436,Electronics,Laptop,494000.0,1044475.0,Electronics,1025500.0
C0437,Electronics,Laptop,542750.0,1042310.0,Electronics,1010250.0
C0302,Electronics,Laptop,978250.0,1037275.0,Electronics,1005250.0
C0417,Electronics,Laptop,757250.0,1033830.0,Electronics,1019250.0
C0415,Electronics,Laptop,455000.0,1032750.0,Electronics,1014000.0
C0312,Electronics,Laptop,653250.0,1025950.0,Electronics,1005250.0
C0351,Electronics,Laptop,455000.0,1022055.0,Electronics,998500.0
C0292,Electronics,Laptop,562250.0,1020630.0,Electronics,997250.0
C0109,Electronics,Laptop,520000.0,1020550.0,Electronics,961000.0
C0135,Electronics,Laptop,578500.0,1013005.0,Electronics,995750.0
C0016,Electronics,Laptop,494000.0,1001050.0,Electronics,968000.0
C0120,Electronics,Laptop,416000.0,1000590.0,Electronics,957500.0
C0406,Electronics,Laptop,422500.0,995625.0,Electronics,965500.0
C0244,Electronics,Laptop,416000.0,989695.0,Electronics,955000.0
C0018,Electronics,Laptop,692250.0,989000.0,Electronics,961500.0
C0030,Electronics,Laptop,793000.0,981285.0,Electronics,964250.0
C0318,Electronics,Laptop,536250.0,980600.0,Electronics,957750.0
C0448,Electronics,Laptop,822250.0,979150.0,Electronics,970750.0
C0258,Electronics,Laptop,669500.0,969015.0,Electronics,955250.0
C0057,Electronics,Laptop,627250.0,963925.0,Electronics,930250.0
C0442,Electronics,Smartphone,550000.0,959250.0,Electronics,925750.0
