customer_id,order_count,units_sold,revenue,average_transaction_value,average_customer_revenue,revenue_vs_customer_average
C0410,15,56,1526130.0,101742.0,558188.6,967941.4
C0127,13,42,1523575.0,117198.08,558188.6,965386.4
C0307,11,36,1475130.0,134102.73,558188.6,916941.4
C0159,22,65,1382975.0,62862.5,558188.6,824786.4
C0215,13,48,1382075.0,106313.46,558188.6,823886.4
C0300,14,41,1355175.0,96798.21,558188.6,796986.4
C0456,20,60,1319975.0,65998.75,558188.6,761786.4
C0050,12,43,1281650.0,106804.17,558188.6,723461.4
C0275,15,52,1266725.0,84448.33,558188.6,708536.4
C0102,14,47,1261750.0,90125.0,558188.6,703561.4
C0272,14,46,1226655.0,87618.21,558188.6,668466.4
C0443,13,45,1212950.0,93303.85,558188.6,654761.4
C0374,19,66,1210735.0,63722.89,558188.6,652546.4
C0335,19,61,1173135.0,61743.95,558188.6,614946.4
C0234,11,35,1169700.0,106336.36,558188.6,611511.4
C0098,11,38,1152475.0,104770.45,558188.6,594286.4
C0067,18,54,1148245.0,63791.39,558188.6,590056.4
C0037,15,55,1134350.0,75623.33,558188.6,576161.4
C0013,17,60,1132800.0,66635.29,558188.6,574611.4
C0061,11,31,1126200.0,102381.82,558188.6,568011.4
C0482,16,42,1118325.0,69895.31,558188.6,560136.4
C0326,14,37,1113810.0,79557.86,558188.6,555621.4
C0004,16,43,1108185.0,69261.56,558188.6,549996.4
C0143,15,46,1107175.0,73811.67,558188.6,548986.4
C0274,15,42,1105360.0,73690.67,558188.6,547171.4
C0117,12,38,1104810.0,92067.5,558188.6,546621.4
C0026,13,37,1095675.0,84282.69,558188.6,537486.4
C0110,12,41,1085830.0,90485.83,558188.6,527641.4
C0458,15,42,1078620.0,71908.0,558188.6,520431.4
C0119,13,37,1076875.0,82836.54,558188.6,518686.4
C0297,14,51,1076100.0,76864.29,558188.6,517911.4
C0180,8,28,1075160.0,134395.0,558188.6,516971.4
C0378,13,34,1062230.0,81710.0,558188.6,504041.4
C0467,16,48,1060770.0,66298.13,558188.6,502581.4
C0266,13,34,1049680.0,80744.62,558188.6,491491.4
C0129,9,33,1044485.0,116053.89,558188.6,486296.4
C0436,12,44,1044475.0,87039.58,558188.6,486286.4
C0437,15,42,1042310.0,69487.33,558188.6,484121.4
C0302,11,31,1037275.0,94297.73,558188.6,479086.4
C0417,11,31,1033830.0,93984.55,558188.6,475641.4
C0415,11,33,1032750.0,93886.36,558188.6,474561.4
C0312,10,31,1025950.0,102595.0,558188.6,467761.4
C0351,17,41,1022055.0,60120.88,558188.6,463866.4
C0292,12,39,1020630.0,85052.5,558188.6,462441.4
C0109,13,46,1020550.0,78503.85,558188.6,462361.4
C0135,13,40,1013005.0,77923.46,558188.6,454816.4
C0016,13,38,1001050.0,77003.85,558188.6,442861.4
C0120,13,47,1000590.0,76968.46,558188.6,442401.4
