month,order_count,units_sold,revenue,average_order_value
2025-01,285,892,15486360.0,54338.11
2025-02,257,776,15545610.0,60488.75
2025-03,284,877,15615460.0,54984.01
2025-04,275,831,13693690.0,49795.24
2025-05,285,875,17074470.0,59910.42
2025-06,275,828,14767605.0,53700.38
2025-07,284,818,15311520.0,53913.8
2025-08,284,840,16063435.0,56561.39
2025-09,276,797,15232320.0,55189.57
2025-10,284,847,16218785.0,57108.4
2025-11,275,821,15545440.0,56528.87
2025-12,284,829,17603590.0,61984.47
2026-01,285,852,13859840.0,48631.02
2026-02,257,775,16289835.0,63384.57
2026-03,284,836,15152405.0,53353.54
2026-04,275,838,16053370.0,58375.89
2026-05,284,850,15546240.0,54740.28
2026-06,267,769,14034325.0,52563.01
