order_date,Revenue,Orders,Customers,Units,AOV,MoM_Growth
2025-01-31,15486360.0,285,212,892,54338.11,
2025-02-28,15545610.0,257,205,776,60488.75,0.38
2025-03-31,15615460.0,284,221,877,54984.01,0.45
2025-04-30,13693690.0,275,218,831,49795.24,-12.31
2025-05-31,17074470.0,285,211,875,59910.42,24.69
2025-06-30,14767605.0,275,214,828,53700.38,-13.51
2025-07-31,15311520.0,284,217,818,53913.8,3.68
2025-08-31,16063435.0,284,217,840,56561.39,4.91
2025-09-30,15232320.0,276,214,797,55189.57,-5.17
2025-10-31,16218785.0,284,226,847,57108.4,6.48
2025-11-30,15545440.0,275,200,821,56528.87,-4.15
2025-12-31,17603590.0,284,226,829,61984.47,13.24
2026-01-31,13859840.0,285,220,852,48631.02,-21.27
2026-02-28,16289835.0,257,203,775,63384.57,17.53
2026-03-31,15152405.0,284,221,836,53353.54,-6.98
2026-04-30,16053370.0,275,207,838,58375.89,5.95
2026-05-31,15546240.0,284,222,850,54740.28,-3.16
2026-06-30,14034325.0,267,211,769,52563.01,-9.73
