order_date,Revenue,Orders,AOV,MoM_Growth
2025-01-31,15486360.0,285,54338.11,
2025-02-28,15545610.0,257,60488.75,0.38
2025-03-31,15615460.0,284,54984.01,0.45
2025-04-30,13693690.0,275,49795.24,-12.31
2025-05-31,17074470.0,285,59910.42,24.69
2025-06-30,14767605.0,275,53700.38,-13.51
2025-07-31,15311520.0,284,53913.8,3.68
2025-08-31,16063435.0,284,56561.39,4.91
2025-09-30,15232320.0,276,55189.57,-5.17
2025-10-31,16218785.0,284,57108.4,6.48
2025-11-30,15545440.0,275,56528.87,-4.15
2025-12-31,17603590.0,284,61984.47,13.24
2026-01-31,13859840.0,285,48631.02,-21.27
2026-02-28,16289835.0,257,63384.57,17.53
2026-03-31,15152405.0,284,53353.54,-6.98
2026-04-30,16053370.0,275,58375.89,5.95
2026-05-31,15546240.0,284,54740.28,-3.16
2026-06-30,14034325.0,267,52563.01,-9.73
