customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
C0001,44,7,135820.0,3,1,1,311,Regular Customers
C0002,12,9,300600.0,5,2,2,522,Potential Loyalists
C0003,17,13,878500.0,4,4,5,445,Champions
C0004,55,16,1108185.0,2,5,5,255,At Risk
C0005,25,4,100500.0,4,1,1,411,Potential Loyalists
C0006,32,6,193350.0,3,1,1,311,Regular Customers
C0007,39,7,191625.0,3,1,1,311,Regular Customers
C0008,21,6,488550.0,4,1,3,413,Potential Loyalists
C0009,4,8,358275.0,5,2,2,522,Potential Loyalists
C0010,40,7,609875.0,3,1,4,314,Regular Customers
C0011,28,10,483650.0,3,3,3,333,Regular Customers
C0012,24,12,552880.0,4,4,3,443,Loyal Customers
C0013,13,17,1132800.0,4,5,5,455,Champions
C0014,33,11,361805.0,3,4,2,342,Loyal Customers
C0015,22,5,110600.0,4,1,1,411,Potential Loyalists
C0016,1,13,1001050.0,5,4,5,545,Champions
C0017,6,9,539200.0,5,2,3,523,Potential Loyalists
C0018,12,10,989000.0,5,3,5,535,Regular Customers
C0019,8,10,347620.0,5,3,2,532,Regular Customers
C0020,0,10,582170.0,5,3,3,533,Regular Customers
C0021,19,11,719755.0,4,4,4,444,Champions
C0022,64,5,76675.0,2,1,1,211,Hibernating
C0023,9,14,476370.0,5,5,3,553,Loyal Customers
C0024,4,7,263000.0,5,1,1,511,Potential Loyalists
C0025,24,8,516350.0,4,2,3,423,Potential Loyalists
C0026,98,13,1095675.0,1,4,5,145,At Risk
C0027,35,8,510750.0,3,2,3,323,Regular Customers
C0028,198,7,432300.0,1,1,2,112,Hibernating
C0029,52,7,593250.0,2,1,3,213,Hibernating
C0030,61,9,981285.0,2,2,5,225,Hibernating
C0031,43,13,767600.0,3,4,4,344,Loyal Customers
C0032,22,9,172160.0,4,2,1,421,Potential Loyalists
C0033,28,18,679630.0,3,5,4,354,Loyal Customers
C0034,65,14,345400.0,2,5,2,252,At Risk
C0035,15,14,328680.0,4,5,2,452,Loyal Customers
C0036,26,16,669475.0,4,5,4,454,Champions
C0037,10,15,1134350.0,5,5,5,555,Champions
C0038,21,8,152670.0,4,2,1,421,Potential Loyalists
C0039,0,4,332650.0,5,1,2,512,Potential Loyalists
C0040,15,9,408450.0,4,2,2,422,Potential Loyalists
C0041,1,9,387075.0,5,2,2,522,Potential Loyalists
C0042,16,8,419600.0,4,2,2,422,Potential Loyalists
C0043,84,10,875650.0,2,3,5,235,At Risk
C0044,13,9,478625.0,4,2,3,423,Potential Loyalists
C0045,19,8,493610.0,4,2,3,423,Potential Loyalists
C0046,41,9,513600.0,3,2,3,323,Regular Customers
C0047,191,5,334400.0,1,1,2,112,Hibernating
C0048,8,12,871975.0,5,4,5,545,Champions
C0049,29,12,550430.0,3,4,3,343,Loyal Customers
C0050,67,12,1281650.0,2,4,5,245,At Risk
C0051,40,13,444270.0,3,4,3,343,Loyal Customers
C0052,84,6,400735.0,2,1,2,212,Hibernating
C0053,4,17,649930.0,5,5,4,554,Champions
C0054,38,9,836500.0,3,2,5,325,Regular Customers
C0055,9,7,375220.0,5,1,2,512,Potential Loyalists
C0056,21,15,732600.0,4,5,4,454,Champions
C0057,29,12,963925.0,3,4,5,345,Loyal Customers
C0058,11,11,358970.0,5,4,2,542,Loyal Customers
C0059,52,6,392925.0,2,1,2,212,Hibernating
C0060,58,11,793650.0,2,4,4,244,At Risk
C0061,17,11,1126200.0,4,4,5,445,Champions
C0062,81,8,295210.0,2,2,1,221,Hibernating
C0063,81,8,365200.0,2,2,2,222,Hibernating
C0064,229,6,291250.0,1,1,1,111,Hibernating
C0065,39,6,412175.0,3,1,2,312,Regular Customers
C0066,236,6,355225.0,1,1,2,112,Hibernating
C0067,50,18,1148245.0,2,5,5,255,At Risk
C0068,14,7,466270.0,4,1,3,413,Potential Loyalists
C0069,50,10,870400.0,2,3,5,235,At Risk
C0070,31,7,328580.0,3,1,2,312,Regular Customers
C0071,70,8,269650.0,2,2,1,221,Hibernating
C0072,3,6,86800.0,5,1,1,511,Potential Loyalists
C0073,126,8,174330.0,1,2,1,121,Hibernating
C0074,44,10,710125.0,3,3,4,334,Regular Customers
C0075,29,11,533940.0,3,4,3,343,Loyal Customers
C0076,89,7,234950.0,1,1,1,111,Hibernating
C0077,2,9,618750.0,5,2,4,524,Potential Loyalists
C0078,130,8,561025.0,1,2,3,123,Hibernating
C0079,174,5,403900.0,1,1,2,112,Hibernating
C0080,14,8,916500.0,4,2,5,425,Potential Loyalists
C0081,263,9,798725.0,1,2,4,124,Hibernating
C0082,60,9,552225.0,2,2,3,223,Hibernating
C0083,63,8,423250.0,2,2,2,222,Hibernating
C0084,3,7,294020.0,5,1,1,511,Potential Loyalists
C0085,15,8,450470.0,4,2,3,423,Potential Loyalists
C0086,35,5,306400.0,3,1,2,312,Regular Customers
C0087,15,13,573175.0,4,4,3,443,Loyal Customers
C0088,23,9,571450.0,4,2,3,423,Potential Loyalists
C0089,21,14,568895.0,4,5,3,453,Loyal Customers
C0090,58,4,519700.0,2,1,3,213,Hibernating
C0091,41,10,611425.0,3,3,4,334,Regular Customers
C0092,30,9,184545.0,3,2,1,321,Regular Customers
C0093,13,9,370345.0,4,2,2,422,Potential Loyalists
C0094,77,13,550600.0,2,4,3,243,At Risk
C0095,116,8,408315.0,1,2,2,122,Hibernating
C0096,9,8,489315.0,5,2,3,523,Potential Loyalists
C0097,151,8,130900.0,1,2,1,121,Hibernating
C0098,12,11,1152475.0,5,4,5,545,Champions
C0099,71,9,571100.0,2,2,3,223,Hibernating
C0100,38,9,844650.0,3,2,5,325,Regular Customers
C0101,57,10,613375.0,2,3,4,234,At Risk
C0102,48,14,1261750.0,2,5,5,255,At Risk
C0103,10,14,547300.0,5,5,3,553,Loyal Customers
C0104,7,13,772270.0,5,4,4,544,Champions
C0105,173,12,431125.0,1,4,2,142,At Risk
C0106,104,7,260470.0,1,1,1,111,Hibernating
C0107,11,14,641050.0,5,5,4,554,Champions
C0108,27,14,771070.0,3,5,4,354,Loyal Customers
C0109,8,13,1020550.0,5,4,5,545,Champions
C0110,93,12,1085830.0,1,4,5,145,At Risk
C0111,151,12,788665.0,1,4,4,144,At Risk
C0112,105,7,423125.0,1,1,2,112,Hibernating
C0113,59,6,313620.0,2,1,2,212,Hibernating
C0114,73,7,418100.0,2,1,2,212,Hibernating
C0115,36,17,807315.0,3,5,5,355,Loyal Customers
