order_id,customer_id,product,category,region,net_sales,customer_total_orders,customer_total_revenue
O00001,C0017,Headphones,Accessories,North,7500.0,9,539200.0
O00002,C0056,Monitor,Electronics,East,60000.0,15,732600.0
O00003,C0182,Laptop,Electronics,North,123500.0,11,766815.0
O00004,C0144,Laptop,Electronics,East,175500.0,9,408725.0
O00005,C0319,Laptop,Electronics,West,65000.0,12,901250.0
O00006,C0358,Keyboard,Accessories,North,3800.0,10,324075.0
O00007,C0003,Smartphone,Electronics,West,40000.0,13,878500.0
O00008,C0202,Mouse,Accessories,West,3800.0,10,668025.0
O00009,C0101,Laptop,Electronics,South,61750.0,10,613375.0
O00010,C0163,Monitor,Electronics,South,75000.0,10,904050.0
O00011,C0405,Monitor,Electronics,North,15000.0,16,795650.0
O00012,C0347,Tablet,Electronics,East,27000.0,5,120580.0
O00013,C0334,Tablet,Electronics,West,150000.0,9,440950.0
O00014,C0173,Monitor,Electronics,North,40500.0,3,144000.0
O00015,C0168,Monitor,Electronics,West,40500.0,7,790825.0
O00016,C0235,Headphones,Accessories,East,4500.0,9,675910.0
O00017,C0045,Keyboard,Accessories,East,7200.0,8,493610.0
O00018,C0366,Monitor,Electronics,West,28500.0,12,323670.0
O00019,C0418,Keyboard,Accessories,East,3800.0,10,597785.0
O00020,C0336,Tablet,Electronics,West,25500.0,15,807460.0
