customer_id,total_orders,total_revenue
C0410,15,1526130.0
C0127,13,1523575.0
C0307,11,1475130.0
C0159,22,1382975.0
C0215,13,1382075.0
C0300,14,1355175.0
C0456,20,1319975.0
C0050,12,1281650.0
C0275,15,1266725.0
C0102,14,1261750.0
C0272,14,1226655.0
C0443,13,1212950.0
C0374,19,1210735.0
C0335,19,1173135.0
C0234,11,1169700.0
C0098,11,1152475.0
C0067,18,1148245.0
C0037,15,1134350.0
C0013,17,1132800.0
C0061,11,1126200.0
C0482,16,1118325.0
C0326,14,1113810.0
C0004,16,1108185.0
C0143,15,1107175.0
C0274,15,1105360.0
C0117,12,1104810.0
C0026,13,1095675.0
C0110,12,1085830.0
C0458,15,1078620.0
C0119,13,1076875.0
C0297,14,1076100.0
C0180,8,1075160.0
C0378,13,1062230.0
C0467,16,1060770.0
C0266,13,1049680.0
C0129,9,1044485.0
C0436,12,1044475.0
C0437,15,1042310.0
C0302,11,1037275.0
C0417,11,1033830.0
C0415,11,1032750.0
C0312,10,1025950.0
C0351,17,1022055.0
C0292,12,1020630.0
C0109,13,1020550.0
C0135,13,1013005.0
C0016,13,1001050.0
C0120,13,1000590.0
C0406,13,995625.0
C0244,13,989695.0
C0018,10,989000.0
C0030,9,981285.0
C0318,13,980600.0
C0448,9,979150.0
C0258,12,969015.0
C0057,12,963925.0
C0442,10,959250.0
C0479,21,946495.0
C0190,9,944700.0
C0121,9,941200.0
C0492,16,941000.0
C0432,14,932425.0
C0164,13,926425.0
C0123,13,925785.0
C0408,14,923915.0
C0184,20,920310.0
C0080,8,916500.0
C0189,10,908455.0
C0163,10,904050.0
C0319,12,901250.0
C0419,7,896000.0
C0286,15,891275.0
C0411,13,882955.0
C0003,13,878500.0
C0181,9,877280.0
C0176,11,876835.0
C0043,10,875650.0
C0439,11,875035.0
C0339,10,873550.0
C0048,12,871975.0
C0398,9,870750.0
C0069,10,870400.0
C0237,10,868100.0
C0252,13,864575.0
C0194,13,858970.0
C0495,13,855550.0
C0402,9,853770.0
C0500,9,848875.0
C0195,15,848325.0
C0199,11,846310.0
C0100,9,844650.0
C0054,9,836500.0
C0441,13,836075.0
C0428,14,835775.0
C0491,9,832500.0
C0349,10,831620.0
C0304,11,825355.0
C0353,10,812905.0
C0336,15,807460.0
C0115,17,807315.0
C0390,20,801785.0
C0081,9,798725.0
C0150,14,797150.0
C0405,16,795650.0
C0060,11,793650.0
C0208,12,793650.0
C0168,7,790825.0
C0111,12,788665.0
C0233,10,788610.0
C0203,11,788605.0
C0213,8,783850.0
C0221,14,781375.0
C0478,9,780460.0
C0104,13,772270.0
C0421,7,771250.0
C0108,14,771070.0
C0138,11,770345.0
C0031,13,767600.0
C0182,11,766815.0
C0325,13,764475.0
C0126,10,759475.0
C0240,8,758030.0
C0118,19,752035.0
C0192,11,750075.0
C0445,10,746175.0
C0316,10,743700.0
C0222,14,741490.0
C0427,8,740050.0
C0388,8,737250.0
C0216,7,733000.0
C0056,15,732600.0
C0355,13,732450.0
C0383,13,732250.0
C0425,13,727750.0
C0457,13,722890.0
C0021,11,719755.0
C0393,7,718400.0
C0179,14,714475.0
C0074,10,710125.0
C0280,8,710025.0
C0431,11,703510.0
C0153,8,703500.0
C0301,5,694850.0
C0219,14,691000.0
C0370,9,689500.0
C0372,9,687600.0
C0451,6,687500.0
C0253,14,681430.0
C0455,12,680700.0
C0033,18,679630.0
C0128,12,675970.0
C0235,9,675910.0
C0036,16,669475.0
C0422,13,668325.0
C0202,10,668025.0
C0187,15,667225.0
C0359,16,666145.0
C0228,11,666065.0
C0493,8,657500.0
C0257,10,656500.0
C0053,17,649930.0
C0230,10,648000.0
C0175,7,642775.0
C0147,12,642330.0
C0481,10,641300.0
C0107,14,641050.0
C0165,11,639625.0
C0209,11,637900.0
C0142,13,637415.0
C0314,7,637200.0
C0364,9,637125.0
C0476,13,634880.0
C0264,14,633670.0
C0392,11,632210.0
C0162,6,628790.0
C0298,14,627750.0
C0395,10,627275.0
C0246,13,626495.0
C0454,16,624775.0
C0250,8,623105.0
C0149,6,621150.0
C0077,9,618750.0
C0323,12,617575.0
C0154,12,616760.0
C0285,14,615945.0
C0101,10,613375.0
C0350,10,611500.0
C0091,10,611425.0
C0145,13,610540.0
C0010,7,609875.0
C0212,12,607890.0
C0413,11,607620.0
C0185,15,604450.0
C0226,11,602530.0
C0161,13,600950.0
C0473,12,600050.0
C0418,10,597785.0
C0193,8,597650.0
C0309,7,597150.0
C0360,10,593790.0
C0029,7,593250.0
C0342,10,592475.0
C0152,10,586290.0
C0177,11,585395.0
C0020,10,582170.0
C0284,4,580600.0
C0375,8,577975.0
C0321,14,576775.0
C0251,9,574425.0
C0231,12,573875.0
C0087,13,573175.0
C0354,14,573030.0
C0088,9,571450.0
C0099,9,571100.0
C0089,14,568895.0
C0327,10,568430.0
C0462,9,568275.0
C0430,11,563575.0
C0078,8,561025.0
