Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Discount,Payment_Method,Returned,Gross_Sales,Discount_Amount,Net_Sales
O00001,2025-01-01 00:00:00.000000000,C0017,Headphones,Accessories,North,3,2500,0.0,Credit Card,No,7500,0.0,7500.0
O00002,2025-01-01 02:36:59.483896779,C0056,Monitor,Electronics,East,4,15000,0.0,Credit Card,No,60000,0.0,60000.0
O00003,2025-01-01 05:13:58.967793558,C0182,Laptop,Electronics,North,2,65000,0.05,Cash,No,130000,6500.0,123500.0
O00004,2025-01-01 07:50:58.451690338,C0144,Laptop,Electronics,East,3,65000,0.1,Debit Card,No,195000,19500.0,175500.0
O00005,2025-01-01 10:27:57.935587117,C0319,Laptop,Electronics,West,1,65000,0.0,Debit Card,No,65000,0.0,65000.0
O00006,2025-01-01 13:04:57.419483896,C0358,Keyboard,Accessories,North,2,2000,0.05,Credit Card,No,4000,200.0,3800.0
O00007,2025-01-01 15:41:56.903380676,C0003,Smartphone,Electronics,West,1,40000,0.0,Debit Card,No,40000,0.0,40000.0
O00008,2025-01-01 18:18:56.387277455,C0202,Mouse,Accessories,West,5,800,0.05,Credit Card,Yes,4000,200.0,3800.0
O00009,2025-01-01 20:55:55.871174234,C0101,Laptop,Electronics,South,1,65000,0.05,Credit Card,No,65000,3250.0,61750.0
O00010,2025-01-01 23:32:55.355071014,C0163,Monitor,Electronics,South,5,15000,0.0,Cash,No,75000,0.0,75000.0
O00011,2025-01-02 02:09:54.838967793,C0405,Monitor,Electronics,North,1,15000,0.0,Cash,Yes,15000,0.0,15000.0
O00012,2025-01-02 04:46:54.322864572,C0347,Tablet,Electronics,East,1,30000,0.1,UPI,No,30000,3000.0,27000.0
O00013,2025-01-02 07:23:53.806761352,C0334,Tablet,Electronics,West,5,30000,0.0,Cash,Yes,150000,0.0,150000.0
O00014,2025-01-02 10:00:53.290658131,C0173,Monitor,Electronics,North,3,15000,0.1,UPI,No,45000,4500.0,40500.0
O00015,2025-01-02 12:37:52.774554910,C0168,Monitor,Electronics,West,3,15000,0.1,UPI,No,45000,4500.0,40500.0
O00016,2025-01-02 15:14:52.258451690,C0235,Headphones,Accessories,East,2,2500,0.1,Cash,No,5000,500.0,4500.0
O00017,2025-01-02 17:51:51.742348469,C0045,Keyboard,Accessories,East,4,2000,0.1,Debit Card,No,8000,800.0,7200.0
O00018,2025-01-02 20:28:51.226245249,C0366,Monitor,Electronics,West,2,15000,0.05,Cash,No,30000,1500.0,28500.0
O00019,2025-01-02 23:05:50.710142028,C0418,Keyboard,Accessories,East,2,2000,0.05,Credit Card,No,4000,200.0,3800.0
O00020,2025-01-03 01:42:50.194038807,C0336,Tablet,Electronics,West,1,30000,0.15,Debit Card,No,30000,4500.0,25500.0
O00021,2025-01-03 04:19:49.677935587,C0208,Tablet,Electronics,East,4,30000,0.0,Cash,No,120000,0.0,120000.0
O00022,2025-01-03 06:56:49.161832366,C0107,Keyboard,Accessories,East,2,2000,0.05,UPI,No,4000,200.0,3800.0
O00023,2025-01-03 09:33:48.645729145,C0078,Tablet,Electronics,East,2,30000,0.0,Debit Card,No,60000,0.0,60000.0
O00024,2025-01-03 12:10:48.129625925,C0456,Monitor,Electronics,South,3,15000,0.1,Debit Card,No,45000,4500.0,40500.0
O00025,2025-01-03 14:47:47.613522704,C0437,Laptop,Electronics,South,1,65000,0.0,Cash,No,65000,0.0,65000.0
O00026,2025-01-03 17:24:47.097419483,C0109,Webcam,Accessories,East,5,3500,0.05,Credit Card,No,17500,875.0,16625.0
O00027,2025-01-03 20:01:46.581316263,C0423,Monitor,Electronics,East,5,15000,0.0,Cash,No,75000,0.0,75000.0
O00028,2025-01-03 22:38:46.065213042,C0359,Monitor,Electronics,North,1,15000,0.0,UPI,No,15000,0.0,15000.0
O00029,2025-01-04 01:15:45.549109821,C0350,Tablet,Electronics,West,4,30000,0.0,Credit Card,No,120000,0.0,120000.0
O00030,2025-01-04 03:52:45.033006601,C0458,Tablet,Electronics,West,1,30000,0.0,UPI,No,30000,0.0,30000.0
O00031,2025-01-04 06:29:44.516903380,C0031,Keyboard,Accessories,North,3,2000,0.15,Cash,No,6000,900.0,5100.0
O00032,2025-01-04 09:06:44.000800160,C0456,Smartphone,Electronics,West,5,40000,0.1,Cash,No,200000,20000.0,180000.0
O00033,2025-01-04 11:43:43.484696939,C0106,Keyboard,Accessories,West,3,2000,0.1,Cash,No,6000,600.0,5400.0
O00034,2025-01-04 14:20:42.968593718,C0178,Laptop,Electronics,East,5,65000,0.1,Debit Card,No,325000,32500.0,292500.0
O00035,2025-01-04 16:57:42.452490498,C0201,Headphones,Accessories,West,3,2500,0.05,UPI,No,7500,375.0,7125.0
O00036,2025-01-04 19:34:41.936387277,C0283,Headphones,Accessories,North,4,2500,0.15,Cash,No,10000,1500.0,8500.0
O00037,2025-01-04 22:11:41.420284056,C0251,Webcam,Accessories,South,5,3500,0.0,Credit Card,Yes,17500,0.0,17500.0
O00038,2025-01-05 00:48:40.904180836,C0285,Tablet,Electronics,North,4,30000,0.15,Debit Card,No,120000,18000.0,102000.0
